chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,playername
100,100,69140,0,0,-3,3,0,2,1.5,1.5,0,Shkodran,1.0,1,FALSE,,2019-11-28T23:00:21.541666Z,52,69140.jpg,4.0,Mustafi,0.3,FALSE,NA,a,1,3,4,7465,17,31052,29,0.2,0.8,Mustafi,90,0,1,0,2,0,0,0,0,0,0,0,24,19.8,0.8,54.0,7.5,Shkodran Mustafi
75,75,98745,0,0,-1,1,0,2,0.5,0.5,0,Héctor,0.2,2,FALSE,Hamstring injury - 75% chance of playing,2019-11-27T11:30:17.257265Z,54,98745.jpg,0.5,Bellerín,0.3,FALSE,NA,d,1,3,1,33242,6,27593,236,0.0,0.2,Bellerín,172,0,0,0,4,0,0,0,1,0,0,0,17,20.4,20.7,9.0,5.1,Héctor Bellerín
100,100,111457,0,0,-2,2,0,2,1.0,1.0,0,Sead,0.5,3,FALSE,,2019-11-21T14:30:19.207005Z,53,111457.jpg,1.8,Kolasinac,0.7,FALSE,NA,a,1,3,20,44612,39,104050,90,0.1,3.8,Kolasinac,757,0,1,1,12,0,0,0,2,0,0,1,147,132.8,126.7,49.0,30.7,Sead Kolasinac
100,100,154043,-1,1,-4,4,1,2,0.5,0.5,0,Ainsley,0.0,4,FALSE,,2019-09-22T18:00:10.824841Z,46,154043.jpg,2.8,Maitland-Niles,2.8,FALSE,NA,a,1,3,17,544450,8,549530,601,0.0,3.6,Maitland-Niles,490,0,2,1,10,0,0,0,0,1,0,3,92,136.4,108.2,31.0,27.1,Ainsley Maitland-Niles
NA,NA,39476,-1,1,-1,1,0,2,0.5,0.5,0,Sokratis,0.0,5,FALSE,,NA,49,39476.jpg,2.6,Papastathopoulos,1.7,FALSE,NA,a,1,3,31,105840,34,125953,500,0.0,6.2,Sokratis,1080,1,0,2,17,0,0,0,3,0,0,2,191,276.8,29.9,71.0,37.8,Sokratis Papastathopoulos
0,0,38411,0,0,0,0,0,2,0.0,0.0,0,Nacho,0.0,6,FALSE,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,38411.jpg,3.3,Monreal,0.3,FALSE,NA,u,1,3,10,28005,0,87249,17,0.0,2.0,Monreal,270,0,0,1,4,0,0,0,0,0,0,1,54,47.2,40.8,12.0,10.0,Nacho Monreal
0,0,51507,0,0,0,0,0,2,0.0,0.0,0,Laurent,0.0,7,FALSE,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,51507.jpg,0.0,Koscielny,0.1,FALSE,NA,u,1,3,0,445,3,12331,5,0.0,0.0,Koscielny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Laurent Koscielny
100,100,233963,0,0,-1,1,0,2,0.5,0.5,0,Konstantinos,0.0,8,FALSE,,2019-08-09T09:30:11.868345Z,44,233963.jpg,0.0,Mavropanos,0.0,FALSE,NA,a,1,3,0,662,2,3966,3,0.0,0.0,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Konstantinos Mavropanos
0,0,80254,0,0,0,0,0,2,0.0,0.0,0,Carl,0.0,9,FALSE,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,80254.jpg,0.0,Jenkinson,0.0,FALSE,NA,u,1,3,0,277,0,2389,2,0.0,0.0,Jenkinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Carl Jenkinson
100,100,156074,0,0,0,0,0,2,0.7,0.7,0,Rob,0.2,10,FALSE,,2019-11-22T10:00:21.031396Z,45,156074.jpg,1.0,Holding,0.1,FALSE,NA,a,1,3,1,10082,16,10339,31,0.0,0.2,Holding,76,0,0,0,2,0,0,0,0,0,0,0,9,8.4,0.4,2.0,1.1,Rob Holding
